epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6467,4.40977,2.98396,3.281,0.00364,0.22193,0.00235,0.00064,3.45851,2.88752,2.65232,0.084016,1.6e-05,1.6e-05
2,23.2571,3.77886,2.64341,2.76627,0.0092,0.56143,0.00737,0.00165,3.47999,2.924,2.52411,0.067033,3.29837e-05,3.29837e-05
3,32.2083,3.69779,2.55076,2.58878,0.01061,0.64729,0.01141,0.00373,3.08962,2.92928,2.39646,0.05005,4.99505e-05,4.99505e-05
4,53.2824,3.54042,2.49089,2.52602,0.01076,0.65654,0.01598,0.00549,2.79699,2.9378,2.33089,0.0330669,6.69005e-05,6.69005e-05
5,64.0569,3.3923,2.40089,2.45836,0.01058,0.64597,0.02298,0.00798,2.72366,2.94057,2.36009,0.0160838,8.38337e-05,8.38337e-05
6,74.1505,3.36405,2.36773,2.4458,0.01041,0.6354,0.0384,0.01298,2.71065,2.91819,2.40121,9.97525e-05,9.97525e-05,9.97525e-05
7,87.7401,3.30136,2.31636,2.41186,0.0105,0.64069,0.0677,0.02285,2.68859,2.79221,2.40322,9.9703e-05,9.9703e-05,9.9703e-05
8,101.323,3.27993,2.30338,2.4104,0.01039,0.63408,0.10856,0.03882,2.74508,2.56358,2.45359,9.96535e-05,9.96535e-05,9.96535e-05
9,110.289,3.19056,2.27126,2.37612,0.25097,0.26288,0.14922,0.05428,2.68877,2.44631,2.39298,9.9604e-05,9.9604e-05,9.9604e-05
10,118.252,3.09078,2.2471,2.34048,0.28071,0.29723,0.17668,0.05978,2.65947,2.33639,2.34924,9.95545e-05,9.95545e-05,9.95545e-05
11,126.222,3.09384,2.19328,2.32358,0.32762,0.31968,0.22614,0.0789,2.55238,2.22988,2.30282,9.9505e-05,9.9505e-05,9.9505e-05
12,148.398,2.9899,2.16426,2.25398,0.36187,0.35931,0.25986,0.09572,2.57614,2.1327,2.25848,9.94555e-05,9.94555e-05,9.94555e-05
13,159.33,3.00278,2.15405,2.25589,0.35259,0.35403,0.25324,0.08853,2.6161,2.10256,2.28639,9.9406e-05,9.9406e-05,9.9406e-05
14,167.899,2.89258,2.12262,2.22653,0.36975,0.3472,0.25541,0.08656,2.79783,2.16434,2.3346,9.93565e-05,9.93565e-05,9.93565e-05
15,177.019,2.91264,2.09832,2.23558,0.36457,0.33421,0.25658,0.07952,2.97642,2.13164,2.38633,9.9307e-05,9.9307e-05,9.9307e-05
